DIAMD_NO,STOCK_NO,PARENT_ITEM_NO_ALT,BOUNCE_USE_ITEM,FULL_TITLE,MAIN_DESC,VARIANT_DESC,SERIES_CODE,ISSUE_NO,ISSUE_SEQ_NO,VOLUME_TAG,MAX_ISSUE,PRICE,PUBLISHER,UPC_NO,SHORT_ISBN_NO,EAN_NO,CARDS_PER_PACK,PACK_PER_BOX,BOX_PER_CASE,DISCOUNT_CODE,INCREMENT,PRNT_DATE,FOC_VENDOR,SHIP_DATE,SRP,CATEGORY,GENRE,BRAND_CODE,MATURE,ADULT,OA,CAUT1,CAUT2,CAUT3,RESOL,NOTE_PRICE,ORDER_FORM_NOTES,PAGE,WRITER,ARTIST,COVER_ARTIST,COLORIST,ALLIANCE_SKU,FOC_DATE,OFFERED_DATE,NUMBER_OF_PAGES,UNIT_WEIGHT,UNIT_LENGTH,UNIT_WIDTH,UNIT_HEIGHT,CASE_WEIGHT,CASE_LENGTH,CASE_WIDTH,CASE_HEIGHT
NOV201469,STL172202,,,SILVER AGE CLASSICS KONA MONARCH MONSTER ISLE HC VOL 02 (C:,SILVER AGE CLASSICS KONA MONARCH MONSTER ISLE HC,,144078,2,0,VOL,,46.99,PS ARTBOOKS, ,1786366533,978178636653554699,0,0,80,H,1,12/4/2020,N,4/28/2021,46.99,3,AA,XX,N,N,N,0,1,1,N,N,(NOTE: Early solicitation April 2021.),291,"Glanzman, Sam","Glanzman, Sam","Prezio, Victor",, ,12/4/2020,,184,0,0,0,0,0,0,0,0
NOV201470,STL172203,,,SILVER AGE CLASSICS KONA SLIPCASE VOL 02 (C: 0-1-1),SILVER AGE CLASSICS KONA SLIPCASE,,144079,2,0,VOL,,56.99,PS ARTBOOKS, ,1786366541,978178636654255699,0,0,80,H,1,12/4/2020,N,4/28/2021,56.99,3,AA,XX,N,N,N,0,1,1,N,N,,291,"Glanzman, Sam","Glanzman, Sam","Prezio, Victor",, ,12/4/2020,,184,0,0,0,0,0,0,0,0
NOV201471,STL170334,,,DC SUPER HEROES BATMAN BOOK CROOKS PICTUREBACK (C: 0-1-0),DC SUPER HEROES BATMAN BOOK CROOKS PICTUREBACK,,0,,0,,,5.99,RANDOM HOUSE BOOKS YOUNG READE, ,0525647392,978052564739350599,0,0,0,F,1,12/4/2020,N,1/6/2021,5.99,4,KI,BM,N,N,N,0,1,0,N,N,,291,"Marlee, J J",,,, ,12/4/2020,,24,0,0,0,0,0,0,0,0
NOV201472,STL170335,,,DC SUPER HEROES BATMAN COPYCAT YR SC (C: 1-0-0),DC SUPER HEROES BATMAN COPYCAT YR SC,,0,,0,,,5.99,RANDOM HOUSE BOOKS YOUNG READE, ,0593304365,978059330436550599,0,0,96,F,10,12/4/2020,N,1/6/2021,5.99,4,KI,BM,N,N,N,1,0,0,N,N,,292,"Foxe, Steve",,,, ,12/4/2020,,32,0,0,0,0,0,0,0,0
NOV201473,STL170330,,,DC SUPERMAN MY DAD IS SUPERHERO BOARD BOOK HC (C: 1-1-0),DC SUPERMAN MY DAD IS SUPERHERO BOARD BOOK HC,,0,,0,,,6.99,RANDOM HOUSE BOOKS YOUNG READE, ,0593305426,978059330542350699,0,0,96,F,10,12/4/2020,N,1/6/2021,6.99,4,KI,SU,N,N,N,1,1,0,N,N,,292,"Shealy, Dennis R","Red Central LTD,",,, ,12/4/2020,,22,0,0,0,0,0,0,0,0
NOV201474,STL170331,,,DC WONDER WOMAN MY MOM IS SUPERHERO BOARD BOOK HC (C: 1-1-0),DC WONDER WOMAN MY MOM IS SUPERHERO BOARD BOOK HC,,0,,0,,,6.99,RANDOM HOUSE BOOKS YOUNG READE, ,059330540X,978059330540950699,0,0,96,F,10,12/4/2020,N,1/6/2021,6.99,4,KI,WN,N,N,N,1,1,0,N,N,,292,"Chlebowski, Rachel","Red Central LTD,",,, ,12/4/2020,,22,0,0,0,0,0,0,0,0
NOV201475,STL170332,,,WONDER WOMAN SAVES THE TREES STEP INTO READING SC (C: 0-1-0),WONDER WOMAN SAVES THE TREES STEP INTO READING SC,,0,,0,,,5.99,RANDOM HOUSE BOOKS YOUNG READE, ,0593304330,978059330433450599,0,0,36,F,8,12/4/2020,N,1/6/2021,5.99,4,KI,WN,N,N,N,0,1,0,N,N,,292,"Webster, Christy",,,, ,12/4/2020,,24,0,0,0,0,0,0,0,0
NOV201476,STL172420,,,KATIE THE CATSITTER SC GN (C: 0-1-1),KATIE THE CATSITTER SC GN,,0,,0,,,12.99,RANDOM HOUSE BOOKS YOUNG READE, ,198489563X,978198489563951299,0,0,36,F,8,12/4/2020,N,1/6/2021,12.99,3,MS,YR,N,N,N,0,1,1,N,N,,292,"Venable, Colleen AF","Yue, Stephanie",,, ,12/4/2020,,224,0,0,0,0,0,0,0,0
NOV201477,STL172421,,,KATIE THE CATSITTER HC GN (C: 0-1-1),KATIE THE CATSITTER HC GN,,0,,0,,,20.99,RANDOM HOUSE BOOKS YOUNG READE, ,0593306325,978059330632152099,0,0,36,F,8,12/4/2020,N,1/6/2021,20.99,3,MS,YR,N,N,N,0,1,1,N,N,,292,"Venable, Colleen AF","Yue, Stephanie",,, ,12/4/2020,,224,0,0,0,0,0,0,0,0
NOV201478,STL172422,,,PIZZA AND TACO YA GN VOL 02 BEST PARTY EVER (C: 0-1-0),PIZZA AND TACO YA GN,BEST PARTY EVER,143535,2,0,VOL,,9.99,RANDOM HOUSE BOOKS YOUNG READE, ,0593123344,978059312334850999,0,0,24,F,1,12/4/2020,N,1/27/2021,9.99,3,HU,YR,N,N,N,0,1,0,N,N,,292,"Shaskan, Stephen","Shaskan, Stephen",,, ,12/4/2020,,72,0.54,8.3,6.2,0.4,0,0,0,0
NOV201479,STL164474,,,SPIDER-MAN MAXIMUM VENOM SCREEN COMIX VOL 01 (C: 1-1-1),SPIDER-MAN MAXIMUM VENOM SCREEN COMIX,,144118,1,0,VOL,,14.99,RANDOM HOUSE BOOKS YOUNG READE, ,0736441433,978073644143851499,0,0,0,F,1,12/4/2020,N,1/13/2021,14.99,3,KI,SM,N,N,N,1,1,1,Y,N,,292,,,,, ,12/4/2020,,320,0,0,0,0,0,0,0,0
NOV201480,STL172423,,,STAR WARS MANDALORIAN SCREEN COMIX TP VOL 01 SEASON 1 (C: 1-,STAR WARS MANDALORIAN SCREEN COMIX TP,SEASON 1,144449,1,0,VOL,,14.99,RANDOM HOUSE BOOKS YOUNG READE, ,0736441417,978073644141451499,0,0,0,F,1,12/4/2020,N,1/27/2021,14.99,3,KI,SW,N,N,N,1,1,1,N,N,,292,,,,, ,12/4/2020,,320,0,0,0,0,0,0,0,0
NOV201481,STL173032,,,HOPE TP HOPE UNDER FIRE (C: 0-0-2),HOPE TP HOPE UNDER FIRE,,0,,0,,,12.99,REBELLION / 2000AD, ,1781087717,978178108771851299,0,0,0,F,5,12/4/2020,N,1/20/2021,12.99,3,CR,XX,N,N,N,0,0,2,N,N,,293,"Adams, Guy","Broxton, Jimmy",,, ,12/4/2020,,64,0,0,0,0,0,0,0,0
